application,dataset_seed,infrastructure,infra_size,task,security_threshold,original_considered,non_cloud_candidates,filtered_by_sw,filtered_by_service,cloud_filtered_by_service,filtered_by_security,total_candidates,cloud_candidates,filtered_by_hw
arOrch,146588263,infrastructure_90,90,fRules,1.0,90,100,29,5,6,0,100,,31
arOrch,146588263,infrastructure_90,90,fAR,1.0,90,21,69,,,0,33,12,
arOrch,146588263,infrastructure_95,95,fLogin,1.0,95,177,31,5,6,0,177,,
arOrch,146588263,infrastructure_95,95,fCrop,0.66,95,17,78,,,0,29,12,
arOrch,146588263,infrastructure_95,95,fGeo,0.66,95,417,31,1,3,0,467,50,
arOrch,146588263,infrastructure_95,95,fDCC,1.0,95,64,31,,,0,100,36,
arOrch,146588263,infrastructure_95,95,fCheckDCC,1.0,95,84,31,,3,0,102,18,43
arOrch,146588263,infrastructure_95,95,fRules,1.0,95,112,21,5,6,0,112,,41
arOrch,146588263,infrastructure_95,95,fAR,1.0,95,17,78,,,0,29,12,
arOrch,146588263,infrastructure_100,100,fLogin,1.0,100,134,28,5,6,0,134,,
arOrch,146588263,infrastructure_100,100,fCrop,0.66,100,20,80,,,0,32,12,
arOrch,146588263,infrastructure_100,100,fGeo,0.66,100,274,28,2,4,0,299,25,
arOrch,146588263,infrastructure_100,100,fDCC,1.0,100,72,28,,,0,108,36,
arOrch,146588263,infrastructure_100,100,fCheckDCC,1.0,100,80,28,,3,0,100,20,52
arOrch,146588263,infrastructure_100,100,fRules,1.0,100,120,28,5,6,0,120,,37
arOrch,146588263,infrastructure_100,100,fAR,1.0,100,20,80,,,0,32,12,
arOrch,146588263,infrastructure_105,105,fLogin,1.0,105,215,28,5,6,0,215,,
arOrch,146588263,infrastructure_105,105,fCrop,0.66,105,18,87,,,0,30,12,
arOrch,146588263,infrastructure_105,105,fGeo,0.66,105,218,28,3,4,0,238,20,
arOrch,146588263,infrastructure_105,105,fDCC,1.0,105,77,28,,,0,113,36,
arOrch,146588263,infrastructure_105,105,fCheckDCC,1.0,105,69,28,,3,0,83,14,54
arOrch,146588263,infrastructure_105,105,fRules,1.0,105,124,25,5,6,0,124,,44
arOrch,146588263,infrastructure_105,105,fAR,1.0,105,18,87,,,0,30,12,
arOrch,146588263,infrastructure_110,110,fLogin,1.0,110,216,33,5,6,0,216,,
arOrch,146588263,infrastructure_110,110,fCrop,0.66,110,22,88,,,0,34,12,
arOrch,146588263,infrastructure_110,110,fGeo,0.66,110,509,33,2,3,0,559,50,
arOrch,146588263,infrastructure_110,110,fDCC,1.0,110,77,33,,,0,113,36,
arOrch,146588263,infrastructure_110,110,fCheckDCC,1.0,110,66,33,,3,0,78,12,55
arOrch,146588263,infrastructure_110,110,fRules,1.0,110,136,28,5,6,0,136,,43
arOrch,146588263,infrastructure_110,110,fAR,1.0,110,22,88,,,0,34,12,
arOrch,146588263,infrastructure_115,115,fLogin,1.0,115,304,33,6,6,0,304,,
arOrch,146588263,infrastructure_115,115,fCrop,0.66,115,24,91,,,0,36,12,
arOrch,146588263,infrastructure_115,115,fGeo,0.66,115,235,33,3,4,0,260,25,
arOrch,146588263,infrastructure_115,115,fDCC,1.0,115,82,33,,,0,118,36,
arOrch,146588263,infrastructure_115,115,fCheckDCC,1.0,115,115,33,,3,0,139,24,59
arOrch,146588263,infrastructure_115,115,fRules,1.0,115,140,23,6,6,0,140,,51
arOrch,146588263,infrastructure_115,115,fAR,1.0,115,24,91,,,0,36,12,
arOrch,146588263,infrastructure_120,120,fLogin,1.0,120,258,28,6,6,0,258,,
arOrch,146588263,infrastructure_120,120,fCrop,0.66,120,22,98,,,0,34,12,
arOrch,146588263,infrastructure_120,120,fGeo,0.66,120,523,28,4,3,0,563,40,
arOrch,146588263,infrastructure_120,120,fDCC,1.0,120,92,28,,,0,128,36,
arOrch,146588263,infrastructure_120,120,fCheckDCC,1.0,120,87,28,,3,0,99,12,63
arOrch,146588263,infrastructure_120,120,fRules,1.0,120,156,28,6,6,0,156,,47
arOrch,146588263,infrastructure_120,120,fAR,1.0,120,22,98,,,0,34,12,
arOrch,146588263,infrastructure_125,125,fLogin,1.0,125,291,22,6,6,0,291,,
arOrch,146588263,infrastructure_125,125,fCrop,0.66,125,15,110,,,0,27,12,
arOrch,146588263,infrastructure_125,125,fGeo,0.66,125,489,22,4,4,0,514,25,
arOrch,146588263,infrastructure_125,125,fDCC,1.0,125,103,22,,,0,139,36,
arOrch,146588263,infrastructure_125,125,fCheckDCC,1.0,125,136,22,,3,0,154,18,69
arOrch,146588263,infrastructure_125,125,fRules,1.0,125,111,41,6,6,0,111,,41
arOrch,146588263,infrastructure_125,125,fAR,1.0,125,15,110,,,0,27,12,
arOrch,146588263,infrastructure_130,130,fLogin,1.0,130,182,33,6,6,0,182,,
arOrch,146588263,infrastructure_130,130,fCrop,0.66,130,23,107,,,0,35,12,
arOrch,146588263,infrastructure_130,130,fGeo,0.66,130,459,33,4,4,0,479,20,
arOrch,146588263,infrastructure_130,130,fDCC,1.0,130,97,33,,,0,133,36,
arOrch,146588263,infrastructure_130,130,fCheckDCC,1.0,130,90,33,,3,0,108,18,67
arOrch,146588263,infrastructure_130,130,fRules,1.0,130,123,31,6,6,0,123,,52
arOrch,146588263,infrastructure_130,130,fAR,1.0,130,23,107,,,0,35,12,
arOrch,146588263,infrastructure_135,135,fLogin,1.0,135,336,44,7,6,0,336,,
arOrch,146588263,infrastructure_135,135,fCrop,0.66,135,24,111,,,0,36,12,
arOrch,146588263,infrastructure_135,135,fGeo,0.66,135,510,44,4,3,0,535,25,
arOrch,146588263,infrastructure_135,135,fDCC,1.0,135,91,44,,,0,127,36,
arOrch,146588263,infrastructure_135,135,fCheckDCC,1.0,135,104,44,,3,0,118,14,65
arOrch,146588263,infrastructure_135,135,fRules,1.0,135,108,32,7,6,0,108,,60
arOrch,146588263,infrastructure_135,135,fAR,1.0,135,24,111,,,0,36,12,
arOrch,146588263,infrastructure_140,140,fLogin,1.0,140,264,45,7,6,0,264,,
arOrch,146588263,infrastructure_140,140,fCrop,0.66,140,26,114,,,0,38,12,
arOrch,146588263,infrastructure_140,140,fGeo,0.66,140,447,45,4,3,0,472,25,
arOrch,146588263,infrastructure_140,140,fDCC,1.0,140,95,45,,,0,131,36,
arOrch,146588263,infrastructure_140,140,fCheckDCC,1.0,140,155,45,,3,0,181,26,64
arOrch,146588263,infrastructure_140,140,fRules,1.0,140,129,36,7,6,0,129,,54
arOrch,146588263,infrastructure_140,140,fAR,1.0,140,26,114,,,0,38,12,
arOrch,146588263,infrastructure_145,145,fLogin,1.0,145,270,48,7,6,0,270,,
arOrch,146588263,infrastructure_145,145,fCrop,0.66,145,32,113,,,0,44,12,
arOrch,146588263,infrastructure_145,145,fGeo,0.66,145,457,48,4,3,0,487,30,
arOrch,146588263,infrastructure_145,145,fDCC,1.0,145,97,48,,,0,133,36,
arOrch,146588263,infrastructure_145,145,fCheckDCC,1.0,145,112,48,,3,0,128,16,69
arOrch,146588263,infrastructure_145,145,fRules,1.0,145,138,34,7,6,0,138,,58
arOrch,146588263,infrastructure_145,145,fAR,1.0,145,32,113,,,0,44,12,
arOrch,146588263,infrastructure_150,150,fLogin,1.0,150,212,37,7,6,0,212,,
arOrch,146588263,infrastructure_150,150,fCrop,0.66,150,29,121,,,0,41,12,
arOrch,146588263,infrastructure_150,150,fGeo,0.66,150,747,37,4,4,0,767,20,
arOrch,146588263,infrastructure_150,150,fDCC,1.0,150,113,37,,,0,149,36,
arOrch,146588263,infrastructure_150,150,fCheckDCC,1.0,150,93,37,,3,0,107,14,82
arOrch,146588263,infrastructure_150,150,fRules,1.0,150,184,41,7,6,0,184,,56
arOrch,146588263,infrastructure_150,150,fAR,1.0,150,29,121,,,0,41,12,
arOrch,146588263,infrastructure_155,155,fLogin,1.0,155,333,36,8,6,0,333,,
arOrch,146588263,infrastructure_155,155,fCrop,0.66,155,23,132,,,0,35,12,
arOrch,146588263,infrastructure_155,155,fGeo,0.66,155,676,36,5,3,0,716,40,
arOrch,146588263,infrastructure_155,155,fDCC,1.0,155,119,36,,,0,155,36,
arOrch,146588263,infrastructure_155,155,fCheckDCC,1.0,155,210,36,,3,0,236,26,77
arOrch,146588263,infrastructure_155,155,fRules,1.0,155,196,36,8,6,0,196,,62
arOrch,146588263,infrastructure_155,155,fAR,1.0,155,23,132,,,0,35,12,
arOrch,146588263,infrastructure_160,160,fLogin,1.0,160,330,42,8,6,0,330,,
arOrch,146588263,infrastructure_160,160,fCrop,0.66,160,29,131,,,0,41,12,
arOrch,146588263,infrastructure_160,160,fGeo,0.66,160,444,42,5,3,0,474,30,
arOrch,146588263,infrastructure_160,160,fDCC,1.0,160,118,42,,,0,154,36,
arOrch,146588263,infrastructure_160,160,fCheckDCC,1.0,160,148,42,,3,0,166,18,81
arOrch,146588263,infrastructure_160,160,fRules,1.0,160,200,41,8,6,0,200,,61
arOrch,146588263,infrastructure_160,160,fAR,1.0,160,29,131,,,0,41,12,
arOrch,146588263,infrastructure_165,165,fLogin,1.0,165,234,40,8,6,0,234,,
arOrch,146588263,infrastructure_165,165,fCrop,0.66,165,27,138,,,0,39,12,
arOrch,146588263,infrastructure_165,165,fGeo,0.66,165,592,40,5,3,0,637,45,
arOrch,146588263,infrastructure_165,165,fDCC,1.0,165,125,40,,,0,161,36,
arOrch,146588263,infrastructure_165,165,fCheckDCC,1.0,165,156,40,,3,0,176,20,86
arOrch,146588263,infrastructure_165,165,fRules,1.0,165,200,33,8,6,0,200,,74
arOrch,146588263,infrastructure_165,165,fAR,1.0,165,27,138,,,0,39,12,
arOrch,146588263,infrastructure_170,170,fLogin,1.0,170,516,33,8,6,0,516,,
arOrch,146588263,infrastructure_170,170,fCrop,0.66,170,25,145,,,0,37,12,
arOrch,146588263,infrastructure_170,170,fGeo,0.66,170,522,33,6,3,0,547,25,
arOrch,146588263,infrastructure_170,170,fDCC,1.0,170,137,33,,,0,173,36,
arOrch,146588263,infrastructure_170,170,fCheckDCC,1.0,170,164,33,,3,0,186,22,96
arOrch,146588263,infrastructure_170,170,fRules,1.0,170,200,50,8,6,0,200,,62
arOrch,146588263,infrastructure_170,170,fAR,1.0,170,25,145,,,0,37,12,
arOrch,146588263,infrastructure_175,175,fLogin,1.0,175,480,47,8,6,0,480,,
arOrch,146588263,infrastructure_175,175,fCrop,0.66,175,27,148,,,0,39,12,
arOrch,146588263,infrastructure_175,175,fGeo,0.66,175,847,47,5,3,0,892,45,
arOrch,146588263,infrastructure_175,175,fDCC,1.0,175,128,47,,,0,164,36,
arOrch,146588263,infrastructure_175,175,fCheckDCC,1.0,175,126,47,,3,0,140,14,86
arOrch,146588263,infrastructure_175,175,fRules,1.0,175,159,49,8,6,0,159,,65
arOrch,146588263,infrastructure_175,175,fAR,1.0,175,27,148,,,0,39,12,
arOrch,146588263,infrastructure_180,180,fLogin,1.0,180,246,48,9,6,0,246,,
arOrch,146588263,infrastructure_180,180,fCrop,0.66,180,30,150,,,0,42,12,
arOrch,146588263,infrastructure_180,180,fGeo,0.66,180,377,48,7,3,0,402,25,
arOrch,146588263,infrastructure_180,180,fDCC,1.0,180,132,48,,,0,168,36,
arOrch,146588263,infrastructure_180,180,fCheckDCC,1.0,180,215,48,,3,0,241,26,89
arOrch,146588263,infrastructure_180,180,fRules,1.0,180,165,38,9,6,0,165,,78
arOrch,146588263,infrastructure_180,180,fAR,1.0,180,30,150,,,0,42,12,
arOrch,146588263,infrastructure_185,185,fLogin,1.0,185,496,52,9,6,0,496,,
arOrch,146588263,infrastructure_185,185,fCrop,0.66,185,34,151,,,0,46,12,
arOrch,146588263,infrastructure_185,185,fGeo,0.66,185,505,52,6,3,0,545,40,
arOrch,146588263,infrastructure_185,185,fDCC,1.0,185,133,52,,,0,169,36,
arOrch,146588263,infrastructure_185,185,fCheckDCC,1.0,185,200,52,,3,0,226,26,93
arOrch,146588263,infrastructure_185,185,fRules,1.0,185,168,46,9,6,0,168,,74
arOrch,146588263,infrastructure_185,185,fAR,1.0,185,34,151,,,0,46,12,
arOrch,146588263,infrastructure_190,190,fLogin,1.0,190,390,51,9,6,0,390,,
arOrch,146588263,infrastructure_190,190,fCrop,0.66,190,33,157,,,0,45,12,
arOrch,146588263,infrastructure_190,190,fGeo,0.66,190,795,51,5,3,0,830,35,
arOrch,146588263,infrastructure_190,190,fDCC,1.0,190,139,51,,,0,175,36,
arOrch,146588263,infrastructure_190,190,fCheckDCC,1.0,190,176,51,,3,0,194,18,95
arOrch,146588263,infrastructure_190,190,fRules,1.0,190,177,56,9,6,0,177,,66
arOrch,146588263,infrastructure_190,190,fAR,1.0,190,33,157,,,0,45,12,
arOrch,146588263,infrastructure_195,195,fLogin,1.0,195,268,52,9,6,0,268,,
arOrch,146588263,infrastructure_195,195,fCrop,0.66,195,35,160,,,0,47,12,
arOrch,146588263,infrastructure_195,195,fGeo,0.66,195,680,52,5,3,0,735,55,
arOrch,146588263,infrastructure_195,195,fDCC,1.0,195,143,52,,,0,179,36,
arOrch,146588263,infrastructure_195,195,fCheckDCC,1.0,195,205,52,,3,0,231,26,102
