application,dataset_seed,infrastructure,infra_size,task,security_threshold,original_considered,non_cloud_candidates,filtered_by_sw,filtered_by_service,cloud_filtered_by_service,filtered_by_security,total_candidates,cloud_candidates,filtered_by_hw
mediaOrch,146588263,infrastructure_105,105,fArchive,0.66,105,80,25,,,0,110,30,
mediaOrch,146588263,infrastructure_110,110,fDocAnalysis,1.0,110,201,28,,,0,255,54,15
mediaOrch,146588263,infrastructure_110,110,fProcDoc,1.0,110,231,33,,,0,285,54,
mediaOrch,146588263,infrastructure_110,110,fPayAppr,0.66,110,82,28,,,0,112,30,
mediaOrch,146588263,infrastructure_110,110,fNotify,0.66,110,82,28,,,0,118,36,
mediaOrch,146588263,infrastructure_110,110,fArchive,0.66,110,82,28,,,0,112,30,
mediaOrch,146588263,infrastructure_115,115,fDocAnalysis,1.0,115,158,23,,,0,194,36,13
mediaOrch,146588263,infrastructure_115,115,fProcDoc,1.0,115,328,33,,,0,400,72,
mediaOrch,146588263,infrastructure_115,115,fPayAppr,0.66,115,92,23,,,0,122,30,
mediaOrch,146588263,infrastructure_115,115,fNotify,0.66,115,92,23,,,0,128,36,
mediaOrch,146588263,infrastructure_115,115,fArchive,0.66,115,92,23,,,0,122,30,
mediaOrch,146588263,infrastructure_120,120,fDocAnalysis,1.0,120,240,28,,,0,294,54,12
mediaOrch,146588263,infrastructure_120,120,fProcDoc,1.0,120,276,28,,,0,330,54,
mediaOrch,146588263,infrastructure_120,120,fPayAppr,0.66,120,92,28,,,0,122,30,
mediaOrch,146588263,infrastructure_120,120,fNotify,0.66,120,92,28,,,0,128,36,
mediaOrch,146588263,infrastructure_120,120,fArchive,0.66,120,92,28,,,0,122,30,
mediaOrch,146588263,infrastructure_125,125,fDocAnalysis,1.0,125,222,41,,,0,276,54,10
mediaOrch,146588263,infrastructure_125,125,fProcDoc,1.0,125,309,22,,,0,363,54,
mediaOrch,146588263,infrastructure_125,125,fPayAppr,0.66,125,84,41,,,0,114,30,
mediaOrch,146588263,infrastructure_125,125,fNotify,0.66,125,84,41,,,0,120,36,
mediaOrch,146588263,infrastructure_125,125,fArchive,0.66,125,84,41,,,0,114,30,
mediaOrch,146588263,infrastructure_130,130,fDocAnalysis,1.0,130,168,31,,,0,204,36,15
mediaOrch,146588263,infrastructure_130,130,fProcDoc,1.0,130,194,33,,,0,230,36,
mediaOrch,146588263,infrastructure_130,130,fPayAppr,0.66,130,99,31,,,0,129,30,
mediaOrch,146588263,infrastructure_130,130,fNotify,0.66,130,99,31,,,0,135,36,
mediaOrch,146588263,infrastructure_130,130,fArchive,0.66,130,99,31,,,0,129,30,
mediaOrch,146588263,infrastructure_135,135,fDocAnalysis,1.0,135,166,32,,,0,202,36,20
mediaOrch,146588263,infrastructure_135,135,fProcDoc,1.0,135,364,44,,,0,436,72,
mediaOrch,146588263,infrastructure_135,135,fPayAppr,0.66,135,103,32,,,0,133,30,
mediaOrch,146588263,infrastructure_135,135,fNotify,0.66,135,103,32,,,0,139,36,
mediaOrch,146588263,infrastructure_135,135,fArchive,0.66,135,103,32,,,0,133,30,
mediaOrch,146588263,infrastructure_140,140,fDocAnalysis,1.0,140,240,36,,,0,294,54,24
mediaOrch,146588263,infrastructure_140,140,fProcDoc,1.0,140,285,45,,,0,339,54,
mediaOrch,146588263,infrastructure_140,140,fPayAppr,0.66,140,104,36,,,0,134,30,
mediaOrch,146588263,infrastructure_140,140,fNotify,0.66,140,104,36,,,0,140,36,
mediaOrch,146588263,infrastructure_140,140,fArchive,0.66,140,104,36,,,0,134,30,
mediaOrch,146588263,infrastructure_145,145,fDocAnalysis,1.0,145,267,34,,,0,321,54,22
mediaOrch,146588263,infrastructure_145,145,fProcDoc,1.0,145,291,48,,,0,345,54,
mediaOrch,146588263,infrastructure_145,145,fPayAppr,0.66,145,111,34,,,0,141,30,
mediaOrch,146588263,infrastructure_145,145,fNotify,0.66,145,111,34,,,0,147,36,
mediaOrch,146588263,infrastructure_145,145,fArchive,0.66,145,111,34,,,0,141,30,
mediaOrch,146588263,infrastructure_150,150,fDocAnalysis,1.0,150,192,41,,,0,228,36,13
mediaOrch,146588263,infrastructure_150,150,fProcDoc,1.0,150,226,37,,,0,262,36,
mediaOrch,146588263,infrastructure_150,150,fPayAppr,0.66,150,109,41,,,0,139,30,
mediaOrch,146588263,infrastructure_150,150,fNotify,0.66,150,109,41,,,0,145,36,
mediaOrch,146588263,infrastructure_150,150,fArchive,0.66,150,109,41,,,0,139,30,
mediaOrch,146588263,infrastructure_155,155,fDocAnalysis,1.0,155,297,36,,,0,351,54,20
mediaOrch,146588263,infrastructure_155,155,fProcDoc,1.0,155,357,36,,,0,411,54,
mediaOrch,146588263,infrastructure_155,155,fPayAppr,0.66,155,119,36,,,0,149,30,
mediaOrch,146588263,infrastructure_155,155,fNotify,0.66,155,119,36,,,0,155,36,
mediaOrch,146588263,infrastructure_155,155,fArchive,0.66,155,119,36,,,0,149,30,
mediaOrch,146588263,infrastructure_160,160,fDocAnalysis,1.0,160,297,41,,,0,351,54,20
mediaOrch,146588263,infrastructure_160,160,fProcDoc,1.0,160,354,42,,,0,408,54,
mediaOrch,146588263,infrastructure_160,160,fPayAppr,0.66,160,119,41,,,0,149,30,
mediaOrch,146588263,infrastructure_160,160,fNotify,0.66,160,119,41,,,0,155,36,
mediaOrch,146588263,infrastructure_160,160,fArchive,0.66,160,119,41,,,0,149,30,
mediaOrch,146588263,infrastructure_165,165,fDocAnalysis,1.0,165,228,33,,,0,264,36,18
mediaOrch,146588263,infrastructure_165,165,fProcDoc,1.0,165,250,40,,,0,286,36,
mediaOrch,146588263,infrastructure_165,165,fPayAppr,0.66,165,132,33,,,0,162,30,
mediaOrch,146588263,infrastructure_165,165,fNotify,0.66,165,132,33,,,0,168,36,
mediaOrch,146588263,infrastructure_165,165,fArchive,0.66,165,132,33,,,0,162,30,
mediaOrch,146588263,infrastructure_170,170,fDocAnalysis,1.0,170,218,50,,,0,254,36,11
mediaOrch,146588263,infrastructure_170,170,fProcDoc,1.0,170,548,33,,,0,620,72,
mediaOrch,146588263,infrastructure_170,170,fPayAppr,0.66,170,120,50,,,0,150,30,
mediaOrch,146588263,infrastructure_170,170,fNotify,0.66,170,120,50,,,0,156,36,
mediaOrch,146588263,infrastructure_170,170,fArchive,0.66,170,120,50,,,0,150,30,
mediaOrch,146588263,infrastructure_175,175,fDocAnalysis,1.0,175,202,49,,,0,238,36,25
mediaOrch,146588263,infrastructure_175,175,fProcDoc,1.0,175,512,47,,,0,584,72,
mediaOrch,146588263,infrastructure_175,175,fPayAppr,0.66,175,126,49,,,0,156,30,
mediaOrch,146588263,infrastructure_175,175,fNotify,0.66,175,126,49,,,0,162,36,
mediaOrch,146588263,infrastructure_175,175,fArchive,0.66,175,126,49,,,0,156,30,
mediaOrch,146588263,infrastructure_180,180,fDocAnalysis,1.0,180,236,38,,,0,272,36,24
mediaOrch,146588263,infrastructure_180,180,fProcDoc,1.0,180,264,48,,,0,300,36,
mediaOrch,146588263,infrastructure_180,180,fPayAppr,0.66,180,142,38,,,0,172,30,
mediaOrch,146588263,infrastructure_180,180,fNotify,0.66,180,142,38,,,0,178,36,
mediaOrch,146588263,infrastructure_180,180,fArchive,0.66,180,142,38,,,0,172,30,
mediaOrch,146588263,infrastructure_185,185,fDocAnalysis,1.0,185,230,46,,,0,266,36,24
mediaOrch,146588263,infrastructure_185,185,fProcDoc,1.0,185,532,52,,,0,604,72,
mediaOrch,146588263,infrastructure_185,185,fPayAppr,0.66,185,139,46,,,0,169,30,
mediaOrch,146588263,infrastructure_185,185,fNotify,0.66,185,139,46,,,0,175,36,
mediaOrch,146588263,infrastructure_185,185,fArchive,0.66,185,139,46,,,0,169,30,
mediaOrch,146588263,infrastructure_190,190,fDocAnalysis,1.0,190,327,56,,,0,381,54,25
mediaOrch,146588263,infrastructure_190,190,fProcDoc,1.0,190,417,51,,,0,471,54,
mediaOrch,146588263,infrastructure_190,190,fPayAppr,0.66,190,134,56,,,0,164,30,
mediaOrch,146588263,infrastructure_190,190,fNotify,0.66,190,134,56,,,0,170,36,
mediaOrch,146588263,infrastructure_190,190,fArchive,0.66,190,134,56,,,0,164,30,
mediaOrch,146588263,infrastructure_195,195,fDocAnalysis,1.0,195,250,49,,,0,286,36,21
mediaOrch,146588263,infrastructure_195,195,fProcDoc,1.0,195,286,52,,,0,322,36,
mediaOrch,146588263,infrastructure_195,195,fPayAppr,0.66,195,146,49,,,0,176,30,
mediaOrch,146588263,infrastructure_195,195,fNotify,0.66,195,146,49,,,0,182,36,
mediaOrch,146588263,infrastructure_195,195,fArchive,0.66,195,146,49,,,0,176,30,
mediaOrch,146588263,infrastructure_200,200,fDocAnalysis,1.0,200,256,52,,,0,292,36,20
mediaOrch,146588263,infrastructure_200,200,fProcDoc,1.0,200,616,46,,,0,688,72,
mediaOrch,146588263,infrastructure_200,200,fPayAppr,0.66,200,148,52,,,0,178,30,
mediaOrch,146588263,infrastructure_200,200,fNotify,0.66,200,148,52,,,0,184,36,
mediaOrch,146588263,infrastructure_200,200,fArchive,0.66,200,148,52,,,0,178,30,
mediaOrch,146588263,infrastructure_205,205,fDocAnalysis,1.0,205,290,40,,,0,326,36,20
mediaOrch,146588263,infrastructure_205,205,fProcDoc,1.0,205,624,49,,,0,696,72,
mediaOrch,146588263,infrastructure_205,205,fPayAppr,0.66,205,165,40,,,0,195,30,
mediaOrch,146588263,infrastructure_205,205,fNotify,0.66,205,165,40,,,0,201,36,
mediaOrch,146588263,infrastructure_205,205,fArchive,0.66,205,165,40,,,0,195,30,
mediaOrch,146588263,infrastructure_210,210,fDocAnalysis,1.0,210,268,57,,,0,304,36,19
mediaOrch,146588263,infrastructure_210,210,fProcDoc,1.0,210,474,52,,,0,528,54,
mediaOrch,146588263,infrastructure_210,210,fPayAppr,0.66,210,153,57,,,0,183,30,
mediaOrch,146588263,infrastructure_210,210,fNotify,0.66,210,153,57,,,0,189,36,
mediaOrch,146588263,infrastructure_210,210,fArchive,0.66,210,153,57,,,0,183,30,
mediaOrch,146588263,infrastructure_215,215,fDocAnalysis,1.0,215,254,56,,,0,290,36,32
mediaOrch,146588263,infrastructure_215,215,fProcDoc,1.0,215,459,62,,,0,513,54,
mediaOrch,146588263,infrastructure_215,215,fPayAppr,0.66,215,159,56,,,0,189,30,
mediaOrch,146588263,infrastructure_215,215,fNotify,0.66,215,159,56,,,0,195,36,
mediaOrch,146588263,infrastructure_215,215,fArchive,0.66,215,159,56,,,0,189,30,
mediaOrch,146588263,infrastructure_220,220,fDocAnalysis,1.0,220,399,62,,,0,453,54,25
mediaOrch,146588263,infrastructure_220,220,fProcDoc,1.0,220,498,54,,,0,552,54,
mediaOrch,146588263,infrastructure_220,220,fPayAppr,0.66,220,158,62,,,0,188,30,
mediaOrch,146588263,infrastructure_220,220,fNotify,0.66,220,158,62,,,0,194,36,
mediaOrch,146588263,infrastructure_220,220,fArchive,0.66,220,158,62,,,0,188,30,
stockOrch,146588263,infrastructure_50,50,fCheck,1.0,50,136,13,3,6,0,136,,
stockOrch,146588263,infrastructure_50,50,fBuyOrSell,0.66,50,17,13,,,0,29,12,20
stockOrch,146588263,infrastructure_50,50,fSell,0.66,50,20,30,,,0,50,30,
stockOrch,146588263,infrastructure_50,50,fBuy,0.66,50,20,30,,,0,50,30,
stockOrch,146588263,infrastructure_50,50,fRecord,0.33,50,64,13,3,4,0,68,4,18
stockOrch,146588263,infrastructure_55,55,fCheck,1.0,55,148,15,3,6,0,148,,
stockOrch,146588263,infrastructure_55,55,fBuyOrSell,0.66,55,18,15,,,0,30,12,22
stockOrch,146588263,infrastructure_55,55,fSell,0.66,55,26,29,,,0,56,30,
stockOrch,146588263,infrastructure_55,55,fBuy,0.66,55,26,29,,,0,56,30,
stockOrch,146588263,infrastructure_55,55,fRecord,0.33,55,64,15,3,6,0,64,,21
stockOrch,146588263,infrastructure_60,60,fCheck,1.0,60,123,16,3,6,0,123,,
stockOrch,146588263,infrastructure_60,60,fBuyOrSell,0.66,60,21,16,,,0,33,12,23
stockOrch,146588263,infrastructure_60,60,fSell,0.66,60,29,31,,,0,59,30,
stockOrch,146588263,infrastructure_60,60,fBuy,0.66,60,29,31,,,0,59,30,
stockOrch,146588263,infrastructure_60,60,fRecord,0.33,60,54,16,3,5,0,56,2,23
stockOrch,146588263,infrastructure_65,65,fCheck,1.0,65,196,13,3,5,0,200,4,
stockOrch,146588263,infrastructure_65,65,fBuyOrSell,0.66,65,22,13,,,0,34,12,30
stockOrch,146588263,infrastructure_65,65,fSell,0.66,65,35,30,,,0,65,30,
stockOrch,146588263,infrastructure_65,65,fBuy,0.66,65,35,30,,,0,65,30,
stockOrch,146588263,infrastructure_65,65,fRecord,0.33,65,84,13,3,4,0,88,4,28
stockOrch,146588263,infrastructure_70,70,fCheck,1.0,70,216,12,4,6,0,216,,
stockOrch,146588263,infrastructure_70,70,fBuyOrSell,0.66,70,26,12,,,0,38,12,32
stockOrch,146588263,infrastructure_70,70,fSell,0.66,70,26,44,,,0,56,30,
stockOrch,146588263,infrastructure_70,70,fBuy,0.66,70,26,44,,,0,56,30,
stockOrch,146588263,infrastructure_70,70,fRecord,0.33,70,88,12,4,6,0,88,,32
stockOrch,146588263,infrastructure_75,75,fCheck,1.0,75,192,23,4,6,0,192,,
stockOrch,146588263,infrastructure_75,75,fBuyOrSell,0.66,75,26,23,,,0,38,12,26
stockOrch,146588263,infrastructure_75,75,fSell,0.66,75,31,44,,,0,61,30,
stockOrch,146588263,infrastructure_75,75,fBuy,0.66,75,31,44,,,0,61,30,
stockOrch,146588263,infrastructure_75,75,fRecord,0.33,75,92,23,4,6,0,92,,25
stockOrch,146588263,infrastructure_80,80,fCheck,1.0,80,110,21,4,6,0,110,,
stockOrch,146588263,infrastructure_80,80,fBuyOrSell,0.66,80,29,21,,,0,41,12,30
stockOrch,146588263,infrastructure_80,80,fSell,0.66,80,34,46,,,0,64,30,
stockOrch,146588263,infrastructure_80,80,fBuy,0.66,80,34,46,,,0,64,30,
stockOrch,146588263,infrastructure_80,80,fRecord,0.33,80,52,21,4,6,0,52,,29
stockOrch,146588263,infrastructure_85,85,fCheck,1.0,85,180,21,4,6,0,180,,
stockOrch,146588263,infrastructure_85,85,fBuyOrSell,0.66,85,30,21,,,0,42,12,34
stockOrch,146588263,infrastructure_85,85,fSell,0.66,85,41,44,,,0,71,30,
stockOrch,146588263,infrastructure_85,85,fBuy,0.66,85,41,44,,,0,71,30,
stockOrch,146588263,infrastructure_85,85,fRecord,0.33,85,81,21,4,6,0,81,,33
stockOrch,146588263,infrastructure_90,90,fCheck,1.0,90,168,29,5,6,0,168,,
stockOrch,146588263,infrastructure_90,90,fBuyOrSell,0.66,90,27,29,,,0,39,12,34
stockOrch,146588263,infrastructure_90,90,fSell,0.66,90,31,59,,,0,61,30,
stockOrch,146588263,infrastructure_90,90,fBuy,0.66,90,31,59,,,0,61,30,
stockOrch,146588263,infrastructure_90,90,fRecord,0.33,90,75,29,5,5,0,77,2,31
stockOrch,146588263,infrastructure_95,95,fCheck,1.0,95,138,21,5,5,0,142,4,
stockOrch,146588263,infrastructure_95,95,fBuyOrSell,0.66,95,31,21,,,0,43,12,43
stockOrch,146588263,infrastructure_95,95,fSell,0.66,95,43,52,,,0,73,30,
stockOrch,146588263,infrastructure_95,95,fBuy,0.66,95,43,52,,,0,73,30,
stockOrch,146588263,infrastructure_95,95,fRecord,0.33,95,56,21,5,5,0,58,2,41
stockOrch,146588263,infrastructure_100,100,fCheck,1.0,100,134,28,5,6,0,134,,
stockOrch,146588263,infrastructure_100,100,fBuyOrSell,0.66,100,34,28,,,0,46,12,38
stockOrch,146588263,infrastructure_100,100,fSell,0.66,100,44,56,,,0,74,30,
stockOrch,146588263,infrastructure_100,100,fBuy,0.66,100,44,56,,,0,74,30,
stockOrch,146588263,infrastructure_100,100,fRecord,0.33,100,60,28,5,6,0,60,,37
stockOrch,146588263,infrastructure_105,105,fCheck,1.0,105,300,25,5,6,0,300,,
stockOrch,146588263,infrastructure_105,105,fBuyOrSell,0.66,105,34,25,,,0,46,12,46
stockOrch,146588263,infrastructure_105,105,fSell,0.66,105,52,53,,,0,82,30,
stockOrch,146588263,infrastructure_105,105,fBuy,0.66,105,52,53,,,0,82,30,
stockOrch,146588263,infrastructure_105,105,fRecord,0.33,105,124,25,5,6,0,124,,44
stockOrch,146588263,infrastructure_110,110,fCheck,1.0,110,308,28,5,6,0,308,,
stockOrch,146588263,infrastructure_110,110,fBuyOrSell,0.66,110,37,28,,,0,49,12,45
stockOrch,146588263,infrastructure_110,110,fSell,0.66,110,49,61,,,0,79,30,
stockOrch,146588263,infrastructure_110,110,fBuy,0.66,110,49,61,,,0,79,30,
stockOrch,146588263,infrastructure_110,110,fRecord,0.33,110,136,28,5,5,0,138,2,43
stockOrch,146588263,infrastructure_115,115,fCheck,1.0,115,172,23,6,6,0,172,,
stockOrch,146588263,infrastructure_115,115,fBuyOrSell,0.66,115,39,23,,,0,51,12,53
stockOrch,146588263,infrastructure_115,115,fSell,0.66,115,59,56,,,0,89,30,
stockOrch,146588263,infrastructure_115,115,fBuy,0.66,115,59,56,,,0,89,30,
stockOrch,146588263,infrastructure_115,115,fRecord,0.33,115,70,23,6,5,0,72,2,51
stockOrch,146588263,infrastructure_120,120,fCheck,1.0,120,258,28,6,6,0,258,,
stockOrch,146588263,infrastructure_120,120,fBuyOrSell,0.66,120,42,28,,,0,54,12,50
stockOrch,146588263,infrastructure_120,120,fSell,0.66,120,64,56,,,0,94,30,
stockOrch,146588263,infrastructure_120,120,fBuy,0.66,120,64,56,,,0,94,30,
stockOrch,146588263,infrastructure_120,120,fRecord,0.33,120,117,28,6,6,0,117,,47
stockOrch,146588263,infrastructure_125,125,fCheck,1.0,125,156,41,6,6,0,156,,
stockOrch,146588263,infrastructure_125,125,fBuyOrSell,0.66,125,40,41,,,0,52,12,44
stockOrch,146588263,infrastructure_125,125,fSell,0.66,125,62,63,,,0,92,30,
stockOrch,146588263,infrastructure_125,125,fBuy,0.66,125,62,63,,,0,92,30,
stockOrch,146588263,infrastructure_125,125,fRecord,0.33,125,74,41,6,5,0,76,2,41
stockOrch,146588263,infrastructure_130,130,fCheck,1.0,130,279,31,6,6,0,279,,
stockOrch,146588263,infrastructure_130,130,fBuyOrSell,0.66,130,44,31,,,0,56,12,55
stockOrch,146588263,infrastructure_130,130,fSell,0.66,130,66,64,,,0,96,30,
stockOrch,146588263,infrastructure_130,130,fBuy,0.66,130,66,64,,,0,96,30,
stockOrch,146588263,infrastructure_130,130,fRecord,0.33,130,123,31,6,6,0,123,,52
stockOrch,146588263,infrastructure_135,135,fCheck,1.0,135,384,32,7,5,0,388,4,
stockOrch,146588263,infrastructure_135,135,fBuyOrSell,0.66,135,40,32,,,0,52,12,63
stockOrch,146588263,infrastructure_135,135,fSell,0.66,135,59,76,,,0,89,30,
stockOrch,146588263,infrastructure_135,135,fBuy,0.66,135,59,76,,,0,89,30,
stockOrch,146588263,infrastructure_135,135,fRecord,0.33,135,144,32,7,4,0,148,4,60
stockOrch,146588263,infrastructure_140,140,fCheck,1.0,140,388,36,7,6,0,388,,
stockOrch,146588263,infrastructure_140,140,fBuyOrSell,0.66,140,47,36,,,0,59,12,57
stockOrch,146588263,infrastructure_140,140,fSell,0.66,140,59,81,,,0,89,30,
stockOrch,146588263,infrastructure_140,140,fBuy,0.66,140,59,81,,,0,89,30,
stockOrch,146588263,infrastructure_140,140,fRecord,0.33,140,172,36,7,5,0,174,2,54
stockOrch,146588263,infrastructure_145,145,fCheck,1.0,145,312,34,7,6,0,312,,
stockOrch,146588263,infrastructure_145,145,fBuyOrSell,0.66,145,50,34,,,0,62,12,61
stockOrch,146588263,infrastructure_145,145,fSell,0.66,145,63,82,,,0,93,30,
stockOrch,146588263,infrastructure_145,145,fBuy,0.66,145,63,82,,,0,93,30,
stockOrch,146588263,infrastructure_145,145,fRecord,0.33,145,138,34,7,6,0,138,,58
stockOrch,146588263,infrastructure_150,150,fCheck,1.0,150,306,41,7,6,0,306,,
stockOrch,146588263,infrastructure_150,150,fBuyOrSell,0.66,150,52,41,,,0,64,12,57
stockOrch,146588263,infrastructure_150,150,fSell,0.66,150,72,78,,,0,102,30,
stockOrch,146588263,infrastructure_150,150,fBuy,0.66,150,72,78,,,0,102,30,
stockOrch,146588263,infrastructure_150,150,fRecord,0.33,150,138,41,7,5,0,140,2,56
stockOrch,146588263,infrastructure_155,155,fCheck,1.0,155,333,36,8,5,0,337,4,
stockOrch,146588263,infrastructure_155,155,fBuyOrSell,0.66,155,51,36,,,0,63,12,68
stockOrch,146588263,infrastructure_155,155,fSell,0.66,155,83,72,,,0,113,30,
stockOrch,146588263,infrastructure_155,155,fBuy,0.66,155,83,72,,,0,113,30,
stockOrch,146588263,infrastructure_155,155,fRecord,0.33,155,147,36,8,5,0,149,2,62
stockOrch,146588263,infrastructure_160,160,fCheck,1.0,160,333,41,8,6,0,333,,
stockOrch,146588263,infrastructure_160,160,fBuyOrSell,0.66,160,58,41,,,0,70,12,61
stockOrch,146588263,infrastructure_160,160,fSell,0.66,160,77,83,,,0,107,30,
stockOrch,146588263,infrastructure_160,160,fBuy,0.66,160,77,83,,,0,107,30,
stockOrch,146588263,infrastructure_160,160,fRecord,0.33,160,150,41,8,6,0,150,,61
stockOrch,146588263,infrastructure_165,165,fCheck,1.0,165,248,33,8,6,0,248,,
stockOrch,146588263,infrastructure_165,165,fBuyOrSell,0.66,165,54,33,,,0,66,12,78
stockOrch,146588263,infrastructure_165,165,fSell,0.66,165,92,73,,,0,122,30,
stockOrch,146588263,infrastructure_165,165,fBuy,0.66,165,92,73,,,0,122,30,
stockOrch,146588263,infrastructure_165,165,fRecord,0.33,165,100,33,8,6,0,100,,74
stockOrch,146588263,infrastructure_170,170,fCheck,1.0,170,336,50,8,6,0,336,,
stockOrch,146588263,infrastructure_170,170,fBuyOrSell,0.66,170,54,50,,,0,66,12,66
stockOrch,146588263,infrastructure_170,170,fSell,0.66,170,87,83,,,0,117,30,
stockOrch,146588263,infrastructure_170,170,fBuy,0.66,170,87,83,,,0,117,30,
stockOrch,146588263,infrastructure_170,170,fRecord,0.33,170,150,50,8,5,0,152,2,62
stockOrch,146588263,infrastructure_175,175,fCheck,1.0,175,354,49,8,6,0,354,,
stockOrch,146588263,infrastructure_175,175,fBuyOrSell,0.66,175,60,49,,,0,72,12,66
stockOrch,146588263,infrastructure_175,175,fSell,0.66,175,79,96,,,0,109,30,
stockOrch,146588263,infrastructure_175,175,fBuy,0.66,175,79,96,,,0,109,30,
stockOrch,146588263,infrastructure_175,175,fRecord,0.33,175,159,49,8,6,0,159,,65
stockOrch,146588263,infrastructure_180,180,fCheck,1.0,180,399,38,9,6,0,399,,
stockOrch,146588263,infrastructure_180,180,fBuyOrSell,0.66,180,60,38,,,0,72,12,82
stockOrch,146588263,infrastructure_180,180,fSell,0.66,180,94,86,,,0,124,30,
stockOrch,146588263,infrastructure_180,180,fBuy,0.66,180,94,86,,,0,124,30,
stockOrch,146588263,infrastructure_180,180,fRecord,0.33,180,165,38,9,6,0,165,,78
stockOrch,146588263,infrastructure_185,185,fCheck,1.0,185,390,46,9,6,0,390,,
stockOrch,146588263,infrastructure_185,185,fBuyOrSell,0.66,185,62,46,,,0,74,12,77
stockOrch,146588263,infrastructure_185,185,fSell,0.66,185,87,98,,,0,117,30,
stockOrch,146588263,infrastructure_185,185,fBuy,0.66,185,87,98,,,0,117,30,
stockOrch,146588263,infrastructure_185,185,fRecord,0.33,185,168,46,9,6,0,168,,74
stockOrch,146588263,infrastructure_190,190,fCheck,1.0,190,500,56,9,6,0,500,,
stockOrch,146588263,infrastructure_190,190,fBuyOrSell,0.66,190,65,56,,,0,77,12,69
stockOrch,146588263,infrastructure_190,190,fSell,0.66,190,83,107,,,0,113,30,
stockOrch,146588263,infrastructure_190,190,fBuy,0.66,190,83,107,,,0,113,30,
stockOrch,146588263,infrastructure_190,190,fRecord,0.33,190,236,56,9,6,0,236,,66
stockOrch,146588263,infrastructure_195,195,fCheck,1.0,195,274,49,9,6,0,274,,
stockOrch,146588263,infrastructure_195,195,fBuyOrSell,0.66,195,63,49,,,0,75,12,83
stockOrch,146588263,infrastructure_195,195,fSell,0.66,195,94,101,,,0,124,30,
stockOrch,146588263,infrastructure_195,195,fBuy,0.66,195,94,101,,,0,124,30,
stockOrch,146588263,infrastructure_195,195,fRecord,0.33,195,116,49,9,6,0,116,,79
stockOrch,146588263,infrastructure_200,200,fCheck,1.0,200,276,52,10,6,0,276,,
stockOrch,146588263,infrastructure_200,200,fBuyOrSell,0.66,200,69,52,,,0,81,12,79
stockOrch,146588263,infrastructure_200,200,fSell,0.66,200,102,98,,,0,132,30,
stockOrch,146588263,infrastructure_200,200,fBuy,0.66,200,102,98,,,0,132,30,
stockOrch,146588263,infrastructure_200,200,fRecord,0.33,200,122,52,10,5,0,124,2,77
stockOrch,146588263,infrastructure_205,205,fCheck,1.0,205,620,40,10,6,0,620,,
stockOrch,146588263,infrastructure_205,205,fBuyOrSell,0.66,205,71,40,,,0,83,12,94
stockOrch,146588263,infrastructure_205,205,fSell,0.66,205,116,89,,,0,146,30,
stockOrch,146588263,infrastructure_205,205,fBuy,0.66,205,116,89,,,0,146,30,
stockOrch,146588263,infrastructure_205,205,fRecord,0.33,205,260,40,10,5,0,264,4,90
stockOrch,146588263,infrastructure_210,210,fCheck,1.0,210,286,57,10,6,0,286,,
stockOrch,146588263,infrastructure_210,210,fBuyOrSell,0.66,210,69,57,,,0,81,12,84
stockOrch,146588263,infrastructure_210,210,fSell,0.66,210,101,109,,,0,131,30,
stockOrch,146588263,infrastructure_210,210,fBuy,0.66,210,101,109,,,0,131,30,
stockOrch,146588263,infrastructure_210,210,fRecord,0.33,210,128,57,10,5,0,130,2,79
stockOrch,146588263,infrastructure_215,215,fCheck,1.0,215,596,56,10,6,0,596,,
stockOrch,146588263,infrastructure_215,215,fBuyOrSell,0.66,215,75,56,,,0,87,12,84
stockOrch,146588263,infrastructure_215,215,fSell,0.66,215,97,118,,,0,127,30,
stockOrch,146588263,infrastructure_215,215,fBuy,0.66,215,97,118,,,0,127,30,
stockOrch,146588263,infrastructure_215,215,fRecord,0.33,215,260,56,10,5,0,262,2,84
stockOrch,146588263,infrastructure_220,220,fCheck,1.0,220,296,62,10,6,0,296,,
stockOrch,146588263,infrastructure_220,220,fBuyOrSell,0.66,220,72,62,,,0,84,12,86
stockOrch,146588263,infrastructure_220,220,fSell,0.66,220,104,116,,,0,134,30,
stockOrch,146588263,infrastructure_220,220,fBuy,0.66,220,104,116,,,0,134,30,
stockOrch,146588263,infrastructure_220,220,fRecord,0.33,220,130,62,10,5,0,132,2,83
